diffid;name;srcnodes;dstnodes;actions;name
237277;MtDiff;4981;4974;23;hbase
237270;MtDiff;581;604;88;hbase
237274;MtDiff;1029;1023;7;hbase
237313;MtDiff;8657;8586;74;hbase
237320;MtDiff;8724;8657;67;hbase
237278;MtDiff;462;454;8;hbase
237303;MtDiff;4545;4551;115;hbase
237280;MtDiff;1386;1278;118;hbase
237282;MtDiff;1117;1149;35;hbase
237300;MtDiff;4233;4223;11;hbase
237283;MtDiff;10000;9992;8;hbase
237285;MtDiff;2741;2732;10;hbase
237291;MtDiff;5074;4981;99;hbase
237289;MtDiff;2115;2000;115;hbase
237286;MtDiff;647;581;66;hbase
237328;MtDiff;4528;4466;602;hbase
237294;MtDiff;559;611;52;hbase
237366;MtDiff;8798;8746;56;hbase
237293;MtDiff;36;36;0;hbase
237295;MtDiff;475;477;29;hbase
237318;MtDiff;290;302;24;hbase
237402;MtDiff;2575;2741;950;hbase
237330;MtDiff;2748;2673;90;hbase
237322;MtDiff;1283;1299;54;hbase
237336;MtDiff;2254;2262;27;hbase
237326;MtDiff;669;666;11;hbase
237331;MtDiff;954;946;11;hbase
237327;MtDiff;478;472;14;hbase
237334;MtDiff;1893;1884;40;hbase
237329;MtDiff;579;584;6;hbase
237332;MtDiff;1098;1356;263;hbase
237345;MtDiff;3662;3656;18;hbase
237337;MtDiff;2114;2114;1;hbase
237346;MtDiff;4888;4888;4;hbase
237333;MtDiff;630;628;4;hbase
237348;MtDiff;5871;5869;4;hbase
237335;MtDiff;107;125;20;hbase
237361;MtDiff;4575;4528;165;hbase
237339;MtDiff;1437;1437;12;hbase
237340;MtDiff;748;748;1;hbase
237341;MtDiff;719;748;35;hbase
237410;MtDiff;8700;8798;117;hbase
237347;MtDiff;1227;1227;1;hbase
237344;MtDiff;516;516;3;hbase
237343;MtDiff;255;255;1;hbase
237350;MtDiff;843;843;1;hbase
237363;MtDiff;2284;2284;1;hbase
237352;MtDiff;897;897;1;hbase
237356;MtDiff;1126;1126;1;hbase
237369;MtDiff;5038;5038;1;hbase
237432;MtDiff;8699;8700;1;hbase
237389;MtDiff;7844;7846;50;hbase
237354;MtDiff;104;107;3;hbase
237359;MtDiff;13;13;1;hbase
237362;MtDiff;1473;1473;1;hbase
237368;MtDiff;1580;1580;1;hbase
237365;MtDiff;1005;1007;23;hbase
237374;MtDiff;1279;1281;26;hbase
237370;MtDiff;1433;1437;5;hbase
237367;MtDiff;456;462;7;hbase
237371;MtDiff;1110;1110;1;hbase
237372;MtDiff;687;719;55;hbase
237373;MtDiff;592;579;13;hbase
237376;MtDiff;412;410;2;hbase
237380;MtDiff;1168;1155;13;hbase
237383;MtDiff;1158;1132;26;hbase
